Anbieter;Preis;Einheit
DSL Provider;30;Euro
Fiber Provider;68;Euro
Fiber Provider;111;Euro
Fiber Provider;47;Euro
DSL Provider;82;Euro
Fiber Provider;52;Euro
Fiber Provider;105;Euro
DSL Provider;23;Euro
DSL Provider;32;Euro
Fiber Provider;52;Euro
DSL Provider;37;Euro
DSL Provider;89;Euro
Fiber Provider;93;Euro
DSL Provider;48;Euro
DSL Provider;54;Euro
Fiber Provider;72;Euro
Fiber Provider;130;Euro
DSL Provider;99;Euro
DSL Provider;75;Euro
Fiber Provider;142;Euro
Fiber Provider;113;Euro
DSL Provider;96;Euro
DSL Provider;34;Euro
DSL Provider;60;Euro
Fiber Provider;105;Euro
DSL Provider;55;Euro
DSL Provider;52;Euro
Fiber Provider;119;Euro
DSL Provider;88;Euro
DSL Provider;35;Euro
Fiber Provider;120;Euro
DSL Provider;36;Euro
Fiber Provider;57;Euro
DSL Provider;95;Euro
Fiber Provider;114;Euro
DSL Provider;32;Euro
DSL Provider;99;Euro
DSL Provider;90;Euro
DSL Provider;48;Euro
Fiber Provider;71;Euro
Fiber Provider;66;Euro
DSL Provider;81;Euro
Fiber Provider;137;Euro
Fiber Provider;125;Euro
Fiber Provider;80;Euro
DSL Provider;23;Euro
Fiber Provider;114;Euro
Fiber Provider;149;Euro
Fiber Provider;43;Euro
DSL Provider;28;Euro
